net,station,orientation_ch1,orientation_ch2,error,Num_measurements
7D,FS04D,326,56,42,8
7D,FS06D,67,157,5,7
7D,FS07D,259,349,6,9
7D,FS08D,202,292,77,13
7D,FS09D,263,353,9,12
7D,FS10D,42,132,6,19
7D,FS13D,275,5,11,16
7D,FS16D,80,170,5,8
7D,FS41D,183,273,16,2
7D,FS44D,74,164,8,15
7D,G01D,10,100,11,15
7D,G03D,139,229,19,28
7D,G04D,261,351,14,28
7D,G05D,315,45,25,30
7D,G09D,284,14,2,7
7D,G10D,180,270,20,19
7D,G13D,181,271,21,46
7D,G20D,311,41,9,35
7D,G21D,296,26,10,29
7D,G22D,171,261,11,35
7D,G29D,182,272,14,43
7D,G33D,315,45,8,10
7D,G35D,52,142,11,35
7D,G36D,115,205,10,19
7D,G37D,137,227,24,49
7D,J11D,98,188,14,26
7D,J19D,256,346,22,34
7D,J20D,188,278,17,45
7D,J27D,28,118,9,28
7D,J28D,211,301,8,23
7D,M16D,315,45,7,14
7D,BB630,125,215,30,78
7D,BB631,125,115,30,78
7D,BB640,267,357,16,40
7D,BB650,147,237,36,18
7D,BB660,293,23,33,10
7D,BB670,201,291,25,36
7D,BB680,33,123,26,32
7D,BB690,244,334,20,7
7D,BB700,192,282,13,34
7D,BB710,118,208,29,71
7D,BB711,118,208,29,71
7D,BB720,26,116,19,52
7D,BB721,26,116,19,52
7D,BB730,36,126,35,26
7D,BB740,279,9,17,38
7D,BB750,NaN,NaN,NaN,NaN
7D,BB830,300,30,13,27
7D,BB840,62,152,19,32
7D,BB850,330,60,23,55
7D,BB870,230,320,28,57
7D,GB030,NaN,NaN,NaN,NaN
7D,GB050,257,347,1,2
7D,GB080,99,189,47,6
7D,GB100,146,236,38,42
7D,GB101,146,236,38,42
7D,GB111,159,249,28,9
7D,GB130,205,295,83,7
7D,GB170,327,57,40,24
7D,GB171,327,57,40,24
7D,GB180,186,276,24,20
7D,GB210,279,9,21,5
7D,GB220,334,64,81,7
7D,GB230,NaN,NaN,NaN,NaN
7D,GB260,215,305,51,4
7D,GB281,189,279,17,39
7D,GB320,143,233,33,3
7D,GB321,143,233,33,3
7D,GB330,20,110,23,30
7D,GB331,20,110,23,30
7D,GB340,33,123,0,1
7D,GB341,33,123,0,1
7D,GB350,NaN,NaN,NaN,NaN
7D,GB360,88,178,25,5
7D,GB380,242,332,41,20
7D,FC03D,84,174,4,16
7D,FS11D,263,353,54,4
7D,FS12D,181,271,32,12
7D,FS14D,213,303,29,9
7D,FS15D,172,262,0,1
7D,FS17D,298,28,3,4
7D,FS42D,102,192,0,1
7D,FS43D,125,215,5,13
7D,FS45D,239,329,55,10
7D,G02D,72,162,9,10
7D,G18D,257,347,15,29
7D,G25D,NaN,NaN,NaN,NaN
7D,G26D,236,326,10,14
7D,G27D,76,166,25,11
7D,G34D,124,214,6,15
7D,J09D,283,13,10,5
7D,J10D,181,271,8,16
7D,J17D,202,292,4,6
7D,J18D,291,21,23,13
7D,J25D,131,221,49,20
7D,J26D,173,263,5,11
7D,M13D,15,105,0,1
7D,M14D,237,327,7,3
7D,M15D,256,346,55,5
7D,M17D,56,146,15,23
7D,G11D,NaN,NaN,NaN,NaN
7D,J06D,309,39,29,32
7D,J23D,207,297,8,37
